Ano                PIB      investimento       consumo privado    consumo publico
1960            27776.62       4435.30              359.20           2721.50     
1961            28771.07       5182.70              371.60           3418.70     
1962            31800.17       5365.30              399.40           3687.70     
1963            33021.20       4938.30              416.80           3799.90     
1964            35020.08       5483.90              447.50           4050.30     
1965            38315.81       6078.60              521.90           4329.60     
1966            40060.60       7380.50              551.20           4561.50     
1967            41724.46       7644.90              616.00           5088.90     
1968            43841.10       8041.20              669.60           5487.70     
1969            44908.56       8949.20              683.20           5659.60     
1970            48714.53       9424.30              775.10           6145.70     
1971            53824.07      11089.00              874.00           6524.20     
1972            59410.12      13564.20              985.10           7193.40     
1973            62333.63      14896.70             1198.40           7609.90     
1974            64150.44      15991.00             1528.50           8755.10     
1975            60881.92      12174.00             1767.30           9062.30     
1976            62276.15      11516.40             2110.00           9510.80     
1977            66023.06      13992.20             2580.90          10507.70     
1978            70093.61      13794.90             3185.20          11045.00     
1979            75070.98      15493.10             4044.80          11859.70     
1980            78647.52      13726.90             5310.40          12919.30     
1981            80357.96      15861.30             6567.20          13665.70     
1982            82096.32      16297.40             7898.60          14104.50     
1983            82894.07      15062.40             9939.40          14647.20     
1984            82030.41      13067.90            12612.00          14705.30     
1985            83372.77      12620.30            14939.10          15334.10     
1986            86140.64      13829.80            17926.20          16065.60     
1987            92715.08      17248.10            21080.20          16699.10     
1988            97666.06      19846.10            25637.50          18056.20     
1989           104159.52      20955.70            29745.40          19444.80     
1990           112345.87      22692.50            35462.60          20552.60     
1991           116131.77      24557.70            42346.40          22666.80     
1992           119766.81      27347.00            47292.30          22821.70     
1993           118943.63      25955.10            50208.90          22907.30     
1994           120714.88      25633.00            54054.20          23423.00     
1995           123608.50      26802.70            57729.40          24158.50     
1996           128167.80      28292.00            61000.60          24912.70     
1997           133816.00      32261.00            65374.90          25588.10     
1998           140692.00      36093.70            70742.30          27290.50     
1999           146422.60      38358.40            76204.10          28317.10     
2000           152155.90      39969.10            82020.80          29500.30     
2001           155160.60      40422.70            86109.00          30631.60     
2002           156346.70      39188.10            89552.00          31212.50     
2003           154922.20      36458.90            91769.00          31347.90     
2004           157339.50      36480.20            96704.40          32109.90     
2005           158559.00      36367.20           100707.10          33196.10     
2006           160855.40      35890.20           105799.80          33001.90     
2007           164660.20      36842.40           111936.20          33163.10     
2008           164646.20      36679.30           116025.70          33278.50     
2009           159881.99      33342.70           110546.80          34880.30     
2010           162977.89      32236.80           115193.10          34925.20     
2011           160503.44      28746.50           115520.00          33419.30     
2012           155076.80      24519.00           111954.70          31945.00      
